,,,------------REGISTERED VOTERS------------,,,,-------------DEMOCRATS--------------,,,,---------------REPUBLICANS---------------,,,,---------------OTHER PARTIES--------------,,,
,,,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER
,STATE,,,,,,,,,,,,,,,,,
,# VOTING,,10666,8530,1243,893,3317,2019,1023,275,5251,4873,28,350,2098,1638,192,268
,% VOTING,,70.60,74.36,55.10,64.71,64.89,67.91,59.51,65.48,81.87,82.86,37.84,76.25,58.59,62.59,41.47,53.49
,PAR 44,,27081,19313,5740,2028,11347,6402,4318,627,6715,6204,127,384,9019,6707,1295,1017
,# VOTING,,17781,12850,3702,1229,7421,4085,2965,371,5073,4724,68,281,5287,4041,669,577
,% VOTING,,65.66,66.54,64.49,60.60,65.40,63.81,68.67,59.17,75.55,76.14,53.54,73.18,58.62,60.25,51.66,56.74
,PAR 45,,36782,25559,9234,1989,13434,5641,7296,497,13576,12789,206,581,9772,7129,1732,911
,# VOTING,,28698,20481,6812,1405,10563,4501,5709,353,11533,10959,122,452,6602,5021,981,600
,% VOTING,,78.02,80.13,73.77,70.64,78.63,79.79,78.25,71.03,84.95,85.69,59.22,77.80,67.56,70.43,56.64,65.86
,PAR 46,,8668,3809,4731,128,5373,1194,4149,30,1817,1712,79,26,1478,903,503,72
,# VOTING,,6269,2874,3331,64,3910,867,3029,14,1490,1440,35,15,869,567,267,35
,% VOTING,,72.32,75.45,70.41,50.00,72.77,72.61,73.01,46.67,82.00,84.11,44.30,57.69,58.80,62.79,53.08,48.61
,PAR 47,,15741,7531,7983,227,10051,3047,6912,92,3112,2948,126,38,2578,1536,945,97
,# VOTING,,12747,6370,6226,151,8228,2567,5593,68,2736,2633,73,30,1783,1170,560,53
,% VOTING,,80.98,84.58,77.99,66.52,81.86,84.25,80.92,73.91,87.92,89.31,57.94,78.95,69.16,76.17,59.26,54.64
,PAR 48,,30706,11087,18110,1509,18589,3596,14472,521,5036,4405,338,293,7081,3086,3300,695
,# VOTING,,21624,8034,12711,879,13675,2650,10696,329,3880,3504,195,181,4069,1880,1820,369
,% VOTING,,70.42,72.46,70.19,58.25,73.57,73.69,73.91,63.15,77.05,79.55,57.69,61.77,57.46,60.92,55.15,53.09
,PAR 49,,60367,32901,25914,1552,31041,10292,20240,509,15602,14459,773,370,13724,8150,4901,673
,# VOTING,,41709,24453,16364,892,21213,7266,13650,297,12767,12103,399,265,7729,5084,2315,330
